epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,470.204,0.37879,0.25381,0.84098,0.99556,1,0.995,0.90925,0.33195,0.2056,0.77164,0.00102345,0.00102345,0.00102345
88,474.962,0.36849,0.24842,0.83354,0.9935,1,0.995,0.91337,0.344,0.20524,0.77257,0.00101873,0.00101873,0.00101873
89,479.606,0.36798,0.24901,0.82915,0.995,1,0.995,0.91498,0.33038,0.20061,0.77062,0.00101402,0.00101402,0.00101402
90,484.37,0.35987,0.24095,0.82843,0.99571,0.99123,0.99491,0.9158,0.32137,0.19243,0.76937,0.0010093,0.0010093,0.0010093
91,489.097,0.35511,0.24005,0.83361,0.99639,1,0.995,0.90968,0.32441,0.20061,0.77049,0.00100459,0.00100459,0.00100459
92,493.926,0.37573,0.24687,0.83742,0.99453,0.99945,0.995,0.91141,0.32881,0.20123,0.77056,0.000999871,0.000999871,0.000999871
93,498.724,0.35518,0.23683,0.83021,0.99384,0.9992,0.995,0.90313,0.34084,0.20326,0.77215,0.000995156,0.000995156,0.000995156
94,503.576,0.36737,0.24547,0.82832,0.99439,0.99643,0.995,0.91099,0.33065,0.19812,0.77236,0.00099044,0.00099044,0.00099044
95,508.426,0.36278,0.24652,0.82901,0.99251,0.99856,0.995,0.91103,0.32752,0.20536,0.77057,0.000985724,0.000985724,0.000985724
96,513.294,0.38877,0.25731,0.83742,0.98503,0.99211,0.995,0.90934,0.33443,0.20877,0.77019,0.000981008,0.000981008,0.000981008
97,518.286,0.37265,0.24855,0.8339,0.98769,0.99236,0.995,0.91414,0.31986,0.19981,0.76983,0.000976293,0.000976293,0.000976293
98,523.144,0.35799,0.24504,0.83341,0.99447,0.99581,0.995,0.91578,0.33051,0.20995,0.77004,0.000971577,0.000971577,0.000971577
99,527.871,0.36356,0.24346,0.82648,0.99224,0.99192,0.995,0.90973,0.33133,0.20861,0.76983,0.000966861,0.000966861,0.000966861
100,532.652,0.37105,0.24667,0.81671,0.99524,1,0.995,0.90781,0.33965,0.21124,0.77116,0.000962146,0.000962146,0.000962146
101,537.405,0.37698,0.2559,0.846,0.99511,0.99984,0.995,0.91621,0.32575,0.19676,0.77111,0.00095743,0.00095743,0.00095743
102,542.189,0.36957,0.25458,0.83735,0.9956,1,0.995,0.92049,0.3171,0.20074,0.76935,0.000952714,0.000952714,0.000952714
103,546.978,0.35652,0.24266,0.82376,0.99296,1,0.995,0.91593,0.30948,0.18841,0.76724,0.000947999,0.000947999,0.000947999
104,551.767,0.34463,0.23198,0.83159,0.99663,0.99611,0.995,0.9152,0.31143,0.19341,0.7689,0.000943283,0.000943283,0.000943283
105,556.46,0.35086,0.23905,0.82704,0.99615,0.99977,0.995,0.91101,0.32181,0.19505,0.77184,0.000938567,0.000938567,0.000938567
106,561.166,0.35082,0.2354,0.83242,0.99377,1,0.995,0.91392,0.32696,0.18944,0.77006,0.000933851,0.000933851,0.000933851
107,565.847,0.35538,0.24603,0.82963,0.99381,1,0.995,0.91201,0.33421,0.19721,0.77146,0.000929136,0.000929136,0.000929136
108,570.644,0.36408,0.24603,0.83856,0.99323,0.99953,0.995,0.91547,0.32634,0.19274,0.77099,0.00092442,0.00092442,0.00092442
109,575.379,0.35717,0.24112,0.82991,0.99527,1,0.995,0.92044,0.31109,0.18999,0.76892,0.000919704,0.000919704,0.000919704
110,580.247,0.35127,0.23631,0.82738,0.99704,1,0.995,0.91889,0.3162,0.19004,0.76984,0.000914989,0.000914989,0.000914989
111,584.843,0.34671,0.23268,0.82358,0.99716,1,0.995,0.91504,0.33117,0.20082,0.7697,0.000910273,0.000910273,0.000910273
112,589.602,0.3492,0.23389,0.83323,0.9957,1,0.995,0.90998,0.3375,0.20512,0.77136,0.000905557,0.000905557,0.000905557
113,594.346,0.34629,0.23687,0.82595,0.99662,1,0.995,0.91895,0.32529,0.19843,0.77041,0.000900842,0.000900842,0.000900842
114,599.11,0.34584,0.24083,0.82878,0.99632,1,0.995,0.92067,0.30932,0.18637,0.7679,0.000896126,0.000896126,0.000896126
115,603.877,0.34398,0.23261,0.82093,0.99644,1,0.995,0.91676,0.31731,0.18917,0.76809,0.00089141,0.00089141,0.00089141
116,608.665,0.37243,0.24671,0.84077,0.99673,1,0.995,0.92198,0.32379,0.19578,0.77008,0.000886694,0.000886694,0.000886694
117,613.549,0.3552,0.24141,0.82958,0.99481,1,0.995,0.92114,0.31784,0.19179,0.76992,0.000881979,0.000881979,0.000881979
118,618.413,0.36179,0.24339,0.83917,0.99504,0.99974,0.995,0.9181,0.31175,0.19278,0.76919,0.000877263,0.000877263,0.000877263
119,623.231,0.35051,0.24145,0.84064,0.99583,1,0.995,0.91468,0.33196,0.193,0.77119,0.000872547,0.000872547,0.000872547
120,628.062,0.34123,0.2312,0.81734,0.99644,1,0.995,0.91704,0.32068,0.19055,0.76959,0.000867832,0.000867832,0.000867832
